ID,primary_source,archive_event_number,link_web,secondary_source,secondary_source_ID,secondary_source_web,host_com_orig ,host_sci_orig,host_com_res,host_sci_res,host_colloq,host_sci_spec_res,family,epidemiological_unit,number_cases,number_susceptible,number_tested,number_deaths,age,sex,country_iso3,country_name,subnational_administration,city,location_detail,date_confirmed,date_reported,date_published,related_to_other_entries,related_ID,test,sampling_type,test_2,sampling_type_2,test_3,sampling_type_3,negative_test,negative_sampling_type,negative_test_2,negative_sampling_type_2,reason_for_testing,symptoms,outcome,living_conditions,source_of_infection,variant,control_measures,original_source,link_original_source
20200229.7036661_1,ProMED,20200229.7036661,https://promedmail.org/promed-post/?id=7036661,WAHIS,IN_33455,https://wahis.woah.org/#/in-review/3144?reportId=17052&fromPage=event-dashboard-url,dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,1,1,0,NS,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-02-26,2020-02-29,2020-02-29,updated by,20200306.7057595_1,PCR,nasal swab,PCR,oral swab,NA,NA,NA,NA,NA,NA,confirmed human case,subclinical,NS,pet,human,NA,isolation,DailyMail UK,https://www.dailymail.co.uk/news/article-8053455/Patients-pet-Pomeranian-comes-disease-Hong-Kong.html
20200306.7057595_1,ProMED,20200306.7057595,https://promedmail.org/promed-post/?id=7057595,WAHIS,FUR_33546,https://wahis.woah.org/#/in-review/3144?reportId=17125&fromPage=event-dashboard-url,dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,1,1,0,17,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-02-26,2020-03-07,2020-03-06,updated by,20200312.7081842_1,PCR,nasal swab,PCR,oral swab,NA,NA,NA,NA,NA,NA,confirmed human case,subclinical,NS,pet,human,NA,isolation,Caixin,https://www.caixinglobal.com/2020-03-05/a-hong-kong-dog-tested-positive-for-coronavirus-and-thats-all-anyone-can-agree-on-101524525.html
20200312.7081842_1,ProMED,20200312.7081842,https://promedmail.org/promed-post/?id=7081842,WAHIS,FUR_33629,https://wahis.woah.org/#/in-review/3144?reportId=17182&fromPage=event-dashboard-url,domestic dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,1,1,0,17,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-02-26,2020-03-16,2020-03-12,updated by,20200326.7146438_1,PCR,nasal swab,PCR,oral swab,NA,NA,antibody test,serum,NA,NA,confirmed human case,subclinical,negative test,pet,human,NA,isolation,Government of Hong Kong SAR,https://www.info.gov.hk/gia/general/202003/12/P2020031200670.htm
20200319.7112693_1,ProMED,20200319.7112693,https://promedmail.org/promed-post/?id=7112693,WAHIS,IN_33684,https://wahis.woah.org/#/in-review/3156?reportId=17223&fromPage=event-dashboard-url,dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,2,2,0,NS,NS,CHN,China,Hong Kong,Hong Kong,NA,NS,2020-03-20,2020-03-19,updated by,FUR_33892_1,PCR,NS,NA,NA,NA,NA,NA,NA,NA,NA,confirmed human case,subclinical,NS,pet,human,NA,isolation,Government of Hong Kong SAR,https://www.info.gov.hk/gia/general/202003/19/P2020031900606.htm
20200326.7146438_1,ProMED,20200326.7146438,https://promedmail.org/promed-post/?id=7146438,WAHIS,FUR_33762,https://wahis.woah.org/#/in-review/3144?reportId=17264&fromPage=event-dashboard-url,dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,1,1,1,17,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-02-26,2020-03-28,2020-03-26,update of,20200229.7036661_1,antibody test,serum,NA,NA,NA,NA,PCR,nasal swab,PCR,oral swab,confirmed human case,subclinical,death,pet,human,NA,NA,Government of Hong Kong SAR,https://www.info.gov.hk/gia/general/202003/26/P2020032600756.htm
20200327.7151215_1,ProMED,20200327.7151215,https://promedmail.org/promed-post/?id=7151215,NA,NA,NA,domestic cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,NS,1,0,NS,NS,BEL,Belgium,Wallonia,Liege,NA,2020-03-27,NA,2020-03-27,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory and gastrointestinal,NS,pet,human,NA,NS,The Brussels Times,https://www.brusselstimes.com/all-news/belgium-all-news/102984/coronavirus-belgium-reaches-7284-confirmed-cases
20200403.7179946_1,ProMED,20200403.7179946,https://promedmail.org/promed-post/?id=7179946,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,survey group,15,NS,102,0,NS,NS,CHN,China,Hubei,Wuhan,NA,NS,NA,2020-04-03,new,NA,ELISA,serum,NA,NA,NA,NA,PCR,nasopharyngeal swab,PCR,rectal swab,study,NS,NS,divers,NS,NA,NS,bioRxiv,https://www.biorxiv.org/content/10.1101/2020.04.01.021196v1.full
20200402.7173286_1,ProMED,20200402.7173286,https://promedmail.org/promed-post/?id=7173286,WAHIS,IN_33832,https://wahis.woah.org/#/in-review/3166?reportId=17299&fromPage=event-dashboard-url,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,NS,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-03-31,2020-04-03,2020-04-03,updated by,20200508.7314521_1,PCR,nasal swab,PCR,oral swab,PCR,rectal swab,NA,NA,NA,NA,confirmed human case,subclinical,NS,pet,human,NA,isolation,Government of Hong Kong,https://www.news.gov.hk/eng/2020/03/20200331/20200331_220128_110.html?type=ticker
20200406.7191352_1,ProMED,20200406.7191352,https://promedmail.org/promed-post/?id=7191352,WAHIS,IN_33885,https://wahis.woah.org/#/in-review/3174?reportId=17331&fromPage=event-dashboard-url,Malayan tiger,Panthera tigris jacksoni,Malayan tiger,Panthera tigris jacksoni,tiger,Panthera tigris,Felidae,animal,1,5,1,0,4,f,USA,United States,New York,New York,NA,2020-04-03,2020-04-06,2020-04-06,new,NA,PCR,nasal swab,PCR,oropharygeal swab,gene sequencing,NS,NA,NA,NA,NA,symptoms,respiratory,improved condition,zoo,NS,NS,isolation,Paul P Calle with Wildlife Conservation Society's (WCS) Bronx Zoo,NA
FUR_33892_1,WAHIS,FUR_33892,https://wahis.woah.org/#/in-review/3156?reportId=17336&fromPage=event-dashboard-url,NA,NA,NA,domestic dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,2,2,0,NS,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-03-20,2020-04-07,2020-04-07,update of,20200319.7112693_1,plaque reduction neutralisation test,serum,NA,NA,NA,NA,PCR,nasal swab,PCR,oral swab,confirmed human case,subclinical,negative test,pet,human,NA,isolation,Delegate of Hong Kong,NA
